"","X","taxon","sample.id","count","depth","thickness","age.older","age","age.younger","chronology.name","age.type","chronology.id","dataset.id","unit.name","site.id","site.name","long","lat","elev","description","long.acc","lat.acc","dataset.name","collection.type","collection.handle","dataset.type","ContactID","ContactName","submission.date","submission.type","genus","species","family","phylum","ne_10m_adm","ScaleRank","LabelRank","FeatureCla","OID_","SOVEREIGNT","SOV_A3","ADM0_DIF","LEVEL","TYPE","ADMIN","ADM0_A3","GEOU_DIF","GEOUNIT","GU_A3","SU_DIF","SUBUNIT","SU_A3","NAME","ABBREV","POSTAL","NAME_FORMA","TERR_","NAME_SORT","MAP_COLOR","POP_EST","GDP_MD_EST","FIPS_10_","ISO_A2","ISO_A3","ISO_N3","ISO3","LON","LAT","ISO3.1","ADMIN.1","REGION","continent","GEO3major","GEO3","IMAGE24","GLOCAF","Stern","SRESmajor","SRES","GBD","AVOIDnumeric","AVOIDname","LDC","SID","LLDC"
"8023",8023,"Alnus",256949,29,670,NA,NA,5256,NA,"C14 BP","Radiocarbon years BP",15118,25013,NA,16180,"Reviers",-0.466666666666667,49.3011111111111,14,"Bank. Physiography: Mue valley. Surrounding vegetation: cultivated fields.",0,0,"REVIERE1","Core","REVIERE1","pollen",1029,"Clet-Pellerin, Martine","2018-02-23","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","FRA",1,2,"Adm-0 country",17,"France","FR1",0,2,"Country","France","FRA",0,"France","FRA",0,"France","FRA","France","Fr.","F","French Republic",NA,"France",11,64057792,2128000,0,"FR","FRA",250,"FRA",2.44987065601257,46.6221692058783,"FRA","France","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",14,"France","other","other","other"
"8031",8031,"Alnus",350450,59,220,NA,NA,7801,NA,"CAL BP","Calibrated radiocarbon years BP",25666,41617,NA,23945,"Füramooser Ried",9.887395,47.990985,662,"Between two moraine ridges. Physiography: Basin. Vegetation formation: Alpine foreland.",0.0137299999999989,0.00952999999999804,"EPD E# 1575","Core","FURAMOOS","pollen",15197,"Müller, Ulrich C.","2019-04-02","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","DEU",1,2,"Adm-0 country",135,"Germany","DEU",0,2,"Sovereign country","Germany","DEU",0,"Germany","DEU",0,"Germany","DEU","Germany","Ger.","D","Federal Republic of Germany",NA,"Germany",1,82329758,2918000,0,"DE","DEU",276,"DEU",10.3708281446481,51.0869722385768,"DEU","Germany","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",16,"Germany","other","other","other"
"8055",8055,"Alnus",52718,1,0.5,NA,NA,18,NA,"NAPD 1","Radiocarbon years BP",1259,2644,NA,2553,"Tioga Pass Pond",-119.258333,37.908333,3018,"Kettle pond. Physiography: Sierra Nevada mountains. Surrounding vegetation: Pinus contorta, P. albicaulis.",0,0,NA,"Core","TIOGA","pollen",7,"Anderson, R. Scott","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"8066",8066,"Alnus",240888,41,5,NA,NA,NA,NA,"No chronology",NA,NA,24267,NA,15791,"Němčice",13.801389,49.191944,556,"Bog. Physiography: Hilly area (Sumava foothills). Surrounding vegetation: Cultivated fields and littles forests.",0,0,"EPD E# 1542","Section","PS7A","pollen",9481,"Rybníčková, Eliška","2017-12-20","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","CZE",1,5,"Adm-0 country",117,"Czech Republic","CZE",0,2,"Sovereign country","Czech Republic","CZE",0,"Czech Republic","CZE",0,"Czech Republic","CZE","Czech Rep.","Cz. Rep.","CZ","Czech Republic",NA,"Czech Republic",6,10211904,265200,0,"CZ","CZE",203,"CZE",15.3141031019095,49.7324482051891,"CZE","Czech Republic","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"8097",8097,"Alnus",378591,1,250,1,NA,NA,NA,"No chronology",NA,NA,3954,NA,3036,"Tourbière de Bresles",2.25,49.4,50,"Peat bog. Physiography: Landscape with irregular appearance. Surrounding vegetation: cultivated fields and forest.",0,0,"EPD E# 140","Core","BRESLES","pollen",712,"van Zeist, Wim","2019-06-20","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","FRA",1,2,"Adm-0 country",17,"France","FR1",0,2,"Country","France","FRA",0,"France","FRA",0,"France","FRA","France","Fr.","F","French Republic",NA,"France",11,64057792,2128000,0,"FR","FRA",250,"FRA",2.44987065601257,46.6221692058783,"FRA","France","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",14,"France","other","other","other"
"8104",8104,"Alnus",49919,3,10,NA,NA,120,NA,"NAPD 1","Radiocarbon years BP",1202,2593,NA,2508,"Spruce Pond",-74.1833,41.23687,223,"Small kettle lake. Physiography: Hudson Highlands. Surrounding vegetation Quercus, Betula, Acer, Fagus, and Liriodendron.",0.00187999999999988,0.0017999999999958,NA,"Core","SPRUCE","pollen",588,"Maenza-Gmelch, Terryanne E.","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"8112",8112,"Alnus",428390,2,11,NA,9221,9023,8772,"Neotoma 1","Calendar years BP",32332,46684,"28",26659,"Paisley Cave 2",-120.57277,42.75668,1378,"The Paisley Caves are in a basalt ridge on the southeastern end of the Summer Lake basin in Oregon. Cave 2 is approximately 7 m deep by 6 m wide. The surrounding shrub-steppe vegetation consists of various bunch grasses (Festuca idahoensis, Poa secunda, and Pseudoroegneria spicata) mixed with three main species of sagebrush (Artemisia arbuscula, A. rigida, and A. tridentata). Much of the area has exposed soils.",0.0535599999999903,0.0521799999999999,NA,"Excavation","PAISRAT","pollen",9342,"Beck, Chase W.","2020-01-25","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"8118",8118,"Alnus",9843,3,40,NA,NA,378,NA,"NAPD 1","Radiocarbon years BP",226,489,NA,478,"Clear Lake",-93.42973,43.12507,374,"Surrounding vegetation: farmland.",0.0956599999999952,0.0321399999999983,NA,"Core","CLEARLIA","pollen",11,"Baker, Richard G.","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"8123",8123,"Alnus",128405,29,264,NA,2962,2640,2358,"EPD1","Calibrated radiocarbon years BP",7422,14125,NA,9601,"Mongan Bog",-7.98346,53.32469,40,"Midlands raised bog",0,0,NA,"Core","MONGANBO","pollen",1164,"Mitchell, Fraser J. G.","2014-06-19","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","IRL",1,2,"Adm-0 country",151,"Ireland","IRL",0,2,"Sovereign country","Ireland","IRL",0,"Ireland","IRL",0,"Ireland","IRL","Ireland","Ire.","IRL",NA,NA,"Ireland",2,4203200,188400,0,"IE","IRL",372,"IRL",-8.13763988410812,53.1763487137152,"IRL","Ireland","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"8131",8131,"Alnus",124644,4,12,NA,37,-1,-27,"PalEON-STEPPS","Calendar years BP",25044,12007,NA,7534,"Deans Lake",-93.44692,44.77528,228,"Lake is on a river terrace formed by Glacial River Warren and is probably in an old river channel. It may also be partly formed by dune sands.",0.0206400000000002,0.00796000000000419,NA,"Core","DEANS","pollen",90,"Shane, Linda C. K.","2014-02-13","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"8146",8146,"Alnus",36980,3,196,1,NA,10422,NA,"NAPD 1","Radiocarbon years BP",869,1796,NA,1738,"Neville Marsh",-83.833333,40.545833,305,"Physiography: Till Plains.",0,0,NA,"Core","NEVILLE","pollen",90,"Shane, Linda C. K.","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"8150",8150,"Alnus",406237,16,10,NA,NA,89,NA,"Fossilva","Radiocarbon years BP",30517,4283,NA,3299,"Mossen",21.58979,60.12146,17,"Well developed raised bog. Physiography: Sphagnum peat. Surrounding vegetation: Pinus dominated peat vegetation.",0,0,"EPD E# 459","Core","MOSSEN","pollen",1302,"Vuorela, Irmeli","2019-09-13","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","FIN",1,2,"Adm-0 country",30,"Finland","FI1",0,2,"County","Finland","FIN",0,"Finland","FIN",0,"Finland","FIN","Finland","Fin.","FIN","Republic of Finland",NA,"Finland",6,5250275,193500,0,"FI","FIN",246,"FIN",26.2880019100913,64.509662975869,"FIN","Finland","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"8172",8172,"Alnus",257629,4,50,NA,NA,562,NA,"POL BP","Calendar years BP",15159,25084,NA,16216,"Saint-Côme du Mont",-1.27083333333333,49.335,25,"Marsh. Physiography: Cotentin Western Parisian basin. Surrounding vegetation: cultivated fields.",0,0,"STCOMONT","Core","STCOMONT","pollen",1029,"Clet-Pellerin, Martine","2018-02-26","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","FRA",1,2,"Adm-0 country",17,"France","FR1",0,2,"Country","France","FRA",0,"France","FRA",0,"France","FRA","France","Fr.","F","French Republic",NA,"France",11,64057792,2128000,0,"FR","FRA",250,"FRA",2.44987065601257,46.6221692058783,"FRA","France","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",14,"France","other","other","other"
"8178",8178,"Alnus",14589,29,0,NA,NA,NA,NA,"GPD 1","Radiocarbon years BP",325,716,NA,696,"Dikikh Olyenyeii Lake Exposure",-178.83801,67.743275,300,"Section exposed on lake bluff. Physiography: glacio-fluvial features in uplands. Surrounding vegetation: graminoid-Salix-Ericales tundra.",0.00936000000001513,0.000910000000004629,NA,"Section","DOE","pollen",118,"Anderson, Patricia M.","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","RUS",1,2,"Adm-0 country",214,"Russia","RUS",0,2,"Sovereign country","Russia","RUS",0,"Russia","RUS",0,"Russia","RUS","Russia","Rus.","RUS","Russian Federation",NA,"Russia",7,140041247,2266000,0,"RU","RUS",643,"RUS",99.0658127547977,61.6613564597895,"RUS","Russia","Europe","Eurasia","Europe","Eastern Europe","Russia+","Russia","Europe","REF","Newly Independent States of FSU (FSU)","Europe, Eastern",3,"Russia","other","other","other"
"8182",8182,"Alnus",406073,129,15,NA,NA,270,NA,"Fossilva","Radiocarbon years BP",30511,4156,NA,3200,"Lake Kolmilaträsk",20.14137,60.29171,12,"The lake is bordered by fen and swamp shores in the E, N and W.
A dense stand of deciduous trees and shrubs grows along the swampy shores.",0,0,"EPD E# 338","Core","KOLMILAT","pollen",1229,"Sarmaja-Korjonen, Kaarina","2019-09-13","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","ALD",1,7,"Adm-0 country",16,"Finland","FI1",1,2,"Country","Aland","ALD",0,"Aland","ALD",0,"Aland","ALD","Aland","Aland","AI","Eland Islands","Fin.","Aland",6,27153,-99,-99,"-99","ALA",248,"ALA",19.9442915273784,60.2285106799567,"ALA","Aland","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"8191",8191,"Alnus",326240,7,276,NA,9298.314,8477.798,7208.933,"Author submitted","Calibrated radiocarbon years BP",25008,41001,NA,23698,"Sears Pond",-72.5783,40.886,2,"Tsuga candensis, Fagus grandifolia, Acer saccharum, Pinus strobus, and Betula species are common in the northern, inland, and higher-elevation parts of New England. Quercus, Carya, and Castanea dentata dominate in the warmer southern part of the region. Acer rubrum is common across New England. Pinus rigida is prevalent on sites with well-drained sandy soils.",0.00339999999999918,0.00399999999999778,NA,"Core","SEARS","pollen",1518,"Oswald, W. Wyatt","2018-12-18","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"8204",8204,"Alnus",227370,21,35,NA,NA,NA,NA,"No chronology",NA,NA,22852,NA,14575,"Moosbruch",13.92869,53.60955,12,"Peatland. Physiography: Basin. Surrounding vegetation: Upland coniferous forest.",0,0,"MOO Pollen","Core","MOOSBRUC","pollen",8809,"de Klerk, Pim","2017-11-09","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","DEU",1,2,"Adm-0 country",135,"Germany","DEU",0,2,"Sovereign country","Germany","DEU",0,"Germany","DEU",0,"Germany","DEU","Germany","Ger.","D","Federal Republic of Germany",NA,"Germany",1,82329758,2918000,0,"DE","DEU",276,"DEU",10.3708281446481,51.0869722385768,"DEU","Germany","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",16,"Germany","other","other","other"
"8230",8230,"Alnus",338026,33,100,NA,NA,NA,NA,"No chronology",NA,NA,41390,NA,23874,"Roxheimer Altrhein",8.383435,49.58128,88,"Oxbow lake. Physiography: Meander of Rhine river. Surrounding vegetation: Cultivated fields.",0.0349299999999992,0.0239799999999946,"EPD E# 1803","Core","ROXHEIME","pollen",185,"Grüger, Eberhard","2019-03-06","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","DEU",1,2,"Adm-0 country",135,"Germany","DEU",0,2,"Sovereign country","Germany","DEU",0,"Germany","DEU",0,"Germany","DEU","Germany","Ger.","D","Federal Republic of Germany",NA,"Germany",1,82329758,2918000,0,"DE","DEU",276,"DEU",10.3708281446481,51.0869722385768,"DEU","Germany","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",16,"Germany","other","other","other"
"8238",8238,"Alnus",20614,2,190,1,NA,7106,NA,"NAPD 1","Radiocarbon years BP",469,991,NA,960,"Guardipee Lake",-112.716667,48.55,1233,"Kettle lake. Physiography: collapsed stagnation moraine. Surrounding vegetation: short-grass prairie.",0,0,NA,"Core","GUARDPEE","pollen",161,"Whitlock, Cathy","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"8245",8245,"Alnus",59161,4,330,1,2548,1956,1419,"Neotoma 1","Calibrated radiocarbon years BP",14885,3138,NA,1128,"Jacobson Lake",-92.716944,46.416944,324,"Lake w/Calamagrostis fringe on N. end. Physiography: Nickerson Moraine, steep slopes. Surrounding vegetation: Acer, Betula, Fraxinus.",0,0,NA,"Core","JACOBSN2","pollen",106,"Watts, William A.","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"8266",8266,"Alnus",347265,17,230,NA,NA,6900,NA,"Fossilva","Radiocarbon years BP",25588,4123,NA,3170,"Červené blato",14.79736,48.8645,477,NA,0.0152999999999999,0.00870000000000459,"EPD E# 305","Core","JC-3-A","pollen",1106,"Jankovská, Vlasta","2019-03-22","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","CZE",1,5,"Adm-0 country",117,"Czech Republic","CZE",0,2,"Sovereign country","Czech Republic","CZE",0,"Czech Republic","CZE",0,"Czech Republic","CZE","Czech Rep.","Cz. Rep.","CZ","Czech Republic",NA,"Czech Republic",6,10211904,265200,0,"CZ","CZE",203,"CZE",15.3141031019095,49.7324482051891,"CZE","Czech Republic","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"8271",8271,"Alnus",240856,6,0,NA,NA,NA,NA,"No chronology",NA,NA,24265,NA,15789,"Stálkov",15.29603,49.027725,633,"Bog. Physiography: Hilly area, Bohemaian-Moravian Highland. Surrounding vegetation: Forests and cultivated fields.",0.00272000000000006,0.00152999999999537,"EPD E# 1544","Section","CV6A","pollen",9481,"Rybníčková, Eliška","2017-12-20","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","CZE",1,5,"Adm-0 country",117,"Czech Republic","CZE",0,2,"Sovereign country","Czech Republic","CZE",0,"Czech Republic","CZE",0,"Czech Republic","CZE","Czech Rep.","Cz. Rep.","CZ","Czech Republic",NA,"Czech Republic",6,10211904,265200,0,"CZ","CZE",203,"CZE",15.3141031019095,49.7324482051891,"CZE","Czech Republic","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"8299",8299,"Alnus",248485,3,35,NA,NA,478,NA,"C14 BP","Radiocarbon years BP",14821,24593,NA,15954,"Moulin de Thévalles",-0.416388888888889,47.9694444444444,58,"Marshy meadow in river meander. Physiography: Erve valley. Surrounding vegetation: cultivated fields.",0,0,"THEVALLE","Core","THEVALLE","pollen",1298,"Visset, Lionel","2018-01-25","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","FRA",1,2,"Adm-0 country",17,"France","FR1",0,2,"Country","France","FRA",0,"France","FRA",0,"France","FRA","France","Fr.","F","French Republic",NA,"France",11,64057792,2128000,0,"FR","FRA",250,"FRA",2.44987065601257,46.6221692058783,"FRA","France","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",14,"France","other","other","other"
"8310",8310,"Alnus",337359,1,90,NA,NA,NA,NA,"No chronology",NA,NA,41368,NA,23863,"Aschenhütte",10.30535,51.6847,240,"Physiography: sink-hole
Surrounding vegetation: Cultivated fields and forest",0.00229999999999997,0.00140000000000384,"EPD E# 1645","Core","ASCHENHU","pollen",185,"Grüger, Eberhard","2019-03-05","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","DEU",1,2,"Adm-0 country",135,"Germany","DEU",0,2,"Sovereign country","Germany","DEU",0,"Germany","DEU",0,"Germany","DEU","Germany","Ger.","D","Federal Republic of Germany",NA,"Germany",1,82329758,2918000,0,"DE","DEU",276,"DEU",10.3708281446481,51.0869722385768,"DEU","Germany","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",16,"Germany","other","other","other"
"8336",8336,"Alnus",335727,34,350.5,NA,NA,NA,NA,"No chronology",NA,NA,41343,NA,23851,"Weßlinger See",11.250545,48.072385,590,"Lake. Physiography: Valley. Surrounding vegetation: Cultivated fields and urban zone.",0.00699000000000005,0.00545000000000329,"EPD E# 1941","Core","WE","pollen",8825,"Müller, Helmut","2019-03-01","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","DEU",1,2,"Adm-0 country",135,"Germany","DEU",0,2,"Sovereign country","Germany","DEU",0,"Germany","DEU",0,"Germany","DEU","Germany","Ger.","D","Federal Republic of Germany",NA,"Germany",1,82329758,2918000,0,"DE","DEU",276,"DEU",10.3708281446481,51.0869722385768,"DEU","Germany","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",16,"Germany","other","other","other"
"8351",8351,"Alnus",245976,51,225,NA,NA,4998,NA,"C14 BP","Radiocarbon years BP",14732,24469,NA,15898,"Fréchencourt",2.43333333333333,49.95,50,"Close to Hallue river. Physiography: valley of the Hallue. Surrounding vegetation: cultivated fields and forest.",0,0,"FRECHENC","Core","FRECHENC","pollen",712,"van Zeist, Wim","2018-01-19","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","FRA",1,2,"Adm-0 country",17,"France","FR1",0,2,"Country","France","FRA",0,"France","FRA",0,"France","FRA","France","Fr.","F","French Republic",NA,"France",11,64057792,2128000,0,"FR","FRA",250,"FRA",2.44987065601257,46.6221692058783,"FRA","France","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",14,"France","other","other","other"
"8378",8378,"Alnus",246279,4,50,NA,NA,2543,NA,"C14 BP","Radiocarbon years BP",14739,24481,NA,15904,"La Guérivière",-0.919166666666667,46.9636111111111,125,"Riverine of La Sèvre Nantaise river. Physiography: basin. Surrounding vegetation: cultivated fields and little woods.",0,0,"GUERIVI","Core","GUERIVI","pollen",1298,"Visset, Lionel","2018-01-22","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","FRA",1,2,"Adm-0 country",17,"France","FR1",0,2,"Country","France","FRA",0,"France","FRA",0,"France","FRA","France","Fr.","F","French Republic",NA,"France",11,64057792,2128000,0,"FR","FRA",250,"FRA",2.44987065601257,46.6221692058783,"FRA","France","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",14,"France","other","other","other"
"8399",8399,"Alnus",53968,101,75,NA,NA,4404,NA,"COHMAP chron 2","Radiocarbon years BP",1281,2669,NA,2576,"Tunturi Lake",-67.5,55.016667,610,NA,0,0,NA,"Core","TUNTURI","pollen",96,"Stravers, Loreen K. Stegeman","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","CAN",1,2,"Adm-0 country",106,"Canada","CAN",0,2,"Sovereign country","Canada","CAN",0,"Canada","CAN",0,"Canada","CAN","Canada","Can.","CA",NA,NA,"Canada",2,33487208,1300000,0,"CA","CAN",124,"CAN",-102.355901829177,57.9392328262499,"CAN","Canada","North America","North America","North America","Canada","Canada","Canada","North America","OECD90","North America (NAM)","North America, High Income",9,"Canada","other","other","other"
"8433",8433,"Alnus",84080,91,38,NA,NA,2752,NA,"Fossilva","Radiocarbon years BP",1770,4228,NA,3260,"Breidfeld",6.063056,50.122778,440,"Peat in the valley. Physiography: sub-flat landscape. Surrounding vegetation: pasture.",0,0,NA,"Section","LUXBREID","pollen",1030,"Coûteaux, Michel","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","LUX",1,5,"Adm-0 country",172,"Luxembourg","LUX",0,2,"Sovereign country","Luxembourg","LUX",0,"Luxembourg","LUX",0,"Luxembourg","LUX","Luxembourg","Lux.","L","Grand Duchy of Luxembourg",NA,"Luxembourg",7,491775,39370,0,"LU","LUX",442,"LUX",6.07176389067843,49.7668243730969,"LUX","Luxembourg","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"8471",8471,"Alnus",413544,28,550,NA,NA,8859,NA,"EPD 1","Radiocarbon years BP",30833,46457,NA,26566,"Nizhneosinovskoye peat bog",29.14831,60.68702,23,"Raised peat bog. Physiography: Depression in strait. Surrounding vegetation: Forest and cultivated fields.",0,0,"EPD E# 2334","Core","NIZHNEOS","pollen",15835,"Savelieva, Larissa","2019-10-09","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","RUS",1,2,"Adm-0 country",214,"Russia","RUS",0,2,"Sovereign country","Russia","RUS",0,"Russia","RUS",0,"Russia","RUS","Russia","Rus.","RUS","Russian Federation",NA,"Russia",7,140041247,2266000,0,"RU","RUS",643,"RUS",99.0658127547977,61.6613564597895,"RUS","Russia","Europe","Eurasia","Europe","Eastern Europe","Russia+","Russia","Europe","REF","Newly Independent States of FSU (FSU)","Europe, Eastern",3,"Russia","other","other","other"
"8475",8475,"Alnus",174728,12,90,1,NA,2653,NA,"EPD default","Radiocarbon years BP",11594,20022,NA,13385,"Avrig",24.383333,45.716667,400,"Sphagnum peat bog. Physiography: Ancient depression of bank river. Surrounding vegetation: Pasture land. Vegetation formation: Quercus, Carpathian and Beech forests.",0,0,NA,"Core","AVRIG1","pollen",8765,"Tanţău, Ioan","2016-07-17","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","ROU",1,2,"Adm-0 country",213,"Romania","ROU",0,2,"Sovereign country","Romania","ROU",0,"Romania","ROU",0,"Romania","ROU","Romania","Rom.","RO",NA,NA,"Romania",13,22215421,271400,0,"RO","ROU",642,"ROU",24.9730993844116,45.8534125440393,"ROU","Romania","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
